id	label
17414	human
16938	human
17379	generated
5391	human
17310	human
5352	generated
4007	generated
8509	generated
17595	generated
15606	human
11624	generated
8019	generated
15479	human
13090	generated
4417	generated
8256	generated
16908	human
13715	human
11433	generated
8785	generated
14384	generated
8165	generated
19578	generated
4519	generated
14337	generated
13846	generated
12659	generated
1729	generated
4770	generated
12797	generated
8845	generated
12189	generated
20048	generated
3707	generated
18723	generated
8546	generated
1201	generated
16459	human
8260	generated
2725	generated
15917	generated
17137	human
17987	generated
6472	generated
15744	generated
14259	generated
993	generated
4745	human
6648	generated
828	generated
4258	generated
13002	generated
16849	generated
3615	generated
16757	generated
11785	human
16042	human
15474	generated
2617	generated
6631	generated
8951	generated
19645	generated
2505	generated
14880	human
8029	generated
14481	generated
18812	generated
9859	generated
19900	human
12078	generated
19775	generated
16145	generated
15980	human
15718	human
10265	generated
3979	generated
10108	generated
13805	human
7781	generated
971	generated
6076	generated
351	generated
18978	generated
15350	human
8658	generated
12241	generated
10172	generated
17714	generated
10484	generated
4230	generated
8803	generated
13887	human
4966	generated
7182	generated
2518	generated
7650	generated
18103	generated
15963	human
5937	generated
1554	generated
15870	generated
5723	human
9606	generated
14645	generated
12099	generated
6490	human
4371	generated
5849	human
208	generated
10389	generated
17241	human
8854	generated
9891	generated
12726	generated
16983	generated
20321	generated
6867	generated
12441	generated
3350	human
18469	generated
15428	human
1978	generated
6072	generated
9745	generated
8685	generated
11640	generated
6489	generated
8135	generated
19409	generated
12187	generated
2641	generated
15736	generated
9409	generated
9500	generated
17143	generated
15846	generated
18609	generated
14021	human
3931	generated
11341	human
3433	generated
5948	generated
606	generated
14195	generated
10479	generated
1527	generated
13653	generated
4950	generated
1453	generated
16847	human
15875	generated
4307	generated
4447	generated
11959	generated
11277	generated
11153	generated
4410	generated
438	generated
3588	generated
738	generated
16651	human
12196	generated
6220	generated
803	generated
14975	generated
12584	generated
1510	generated
19163	generated
7571	generated
19434	human
19215	generated
8623	generated
9443	generated
1027	generated
6512	generated
7285	generated
15092	human
2687	generated
10806	generated
10366	generated
10497	generated
7327	generated
20046	generated
119	generated
17524	generated
9958	generated
6956	generated
5802	generated
12845	generated
3525	generated
19267	generated
1402	generated
1147	generated
1433	generated
9052	generated
8058	generated
19981	human
19600	generated
4448	generated
14164	human
12163	generated
19799	human
1489	generated
10368	generated
12573	generated
14779	human
17745	generated
10294	generated
17284	generated
2202	generated
10459	generated
13977	human
1730	generated
13701	human
14322	human
17184	human
10454	generated
14242	generated
13487	generated
2043	generated
7275	generated
4720	generated
19429	generated
4178	generated
7539	generated
17999	generated
16813	human
5826	generated
7085	human
2467	generated
20082	human
15356	human
14509	generated
19476	generated
1290	generated
19591	generated
18731	generated
7744	generated
2684	generated
15614	generated
9492	generated
5385	generated
19207	generated
8170	generated
11629	human
7789	generated
2876	generated
11148	generated
13583	human
6145	human
5871	generated
1710	generated
6162	human
14887	human
14869	human
15938	human
34	generated
15662	human
15567	generated
19932	generated
9195	generated
16223	generated
14429	generated
2893	generated
11901	human
2981	generated
15316	human
3018	generated
15068	generated
11408	generated
15912	generated
13546	generated
18754	human
17956	generated
14898	human
9656	generated
3492	generated
4999	generated
19888	generated
17363	human
218	generated
16476	human
10250	generated
5357	generated
20031	generated
4393	generated
20226	generated
13274	generated
10062	generated
2571	generated
2812	generated
6951	generated
14094	human
5474	human
18044	generated
13133	generated
18021	generated
5857	generated
5099	generated
16800	generated
3686	generated
18549	generated
13632	generated
2020	generated
19879	generated
2516	generated
18511	generated
11276	generated
6725	generated
14855	generated
19571	generated
19923	generated
2444	generated
16664	human
2301	generated
12447	generated
5748	generated
4186	generated
13688	generated
11643	generated
17546	generated
1713	generated
2305	generated
4199	human
10311	generated
2935	generated
14435	human
6377	generated
4741	generated
1087	generated
16733	generated
15122	generated
18019	generated
16596	human
4954	generated
4724	generated
16804	generated
10402	generated
15482	generated
12933	generated
6483	human
7402	generated
10259	generated
10328	generated
10804	generated
15363	human
17724	generated
6381	generated
3474	generated
13779	human
474	generated
10612	generated
18068	generated
3111	generated
16398	generated
16622	human
7873	generated
2503	generated
2315	generated
11464	generated
3532	generated
13457	generated
19000	generated
10045	generated
12821	generated
5426	generated
503	generated
4153	generated
10371	generated
15651	generated
2789	generated
13110	generated
14217	human
3062	generated
18858	generated
1443	generated
19491	generated
6293	generated
3222	generated
7168	generated
15535	generated
7477	generated
3482	generated
6366	human
8059	generated
7760	generated
385	generated
17560	generated
12425	generated
2585	generated
2420	generated
18361	generated
19754	generated
10719	generated
14807	human
16712	generated
4564	generated
15268	human
15418	generated
12154	generated
20014	generated
8331	generated
10862	generated
6013	generated
18578	generated
856	generated
10663	generated
13880	human
15610	generated
7071	generated
5734	generated
18349	generated
12513	generated
2559	generated
7687	generated
2177	generated
5186	generated
16926	human
17344	human
7221	generated
2238	generated
10979	generated
2003	generated
12509	generated
15970	human
15799	human
9325	generated
10105	generated
1034	generated
17360	generated
15455	generated
9960	generated
6677	human
6137	generated
14548	generated
11209	human
9798	generated
11266	generated
1870	generated
6409	generated
5598	generated
8395	generated
7924	generated
18617	human
15054	human
7969	generated
8171	generated
2864	generated
7305	generated
18082	generated
4373	generated
9818	generated
16120	human
8805	generated
936	generated
12799	human
3728	generated
960	generated
18963	human
14294	generated
12484	generated
11162	generated
5144	generated
3165	generated
10868	generated
2480	generated
17857	generated
6350	generated
14891	generated
2199	generated
17413	human
3643	human
7881	generated
18483	generated
17316	generated
15816	human
13020	generated
16745	human
11213	generated
4420	generated
19081	generated
8086	generated
1805	generated
13047	generated
3668	generated
5642	generated
2910	generated
2712	generated
6209	human
8440	generated
6148	generated
11114	generated
20023	generated
14370	human
7665	generated
10036	generated
15806	generated
12285	generated
5128	human
4069	generated
11012	generated
13935	human
17160	human
4442	generated
18288	generated
9090	generated
15647	human
5183	generated
16974	generated
5381	generated
