id	label
15725	generated
17108	generated
383	generated
7809	human
6215	generated
20030	human
17261	generated
9711	generated
21106	generated
7515	human
10134	human
14684	human
15319	human
12026	generated
10841	generated
21661	generated
4779	human
11131	generated
10782	generated
11832	generated
9150	generated
4034	generated
21632	generated
423	generated
7782	generated
17219	human
16877	generated
7603	generated
5888	generated
7576	generated
19310	generated
15774	human
688	generated
4049	generated
18414	generated
15164	human
4007	generated
4572	generated
5923	generated
15872	generated
11433	generated
221	generated
20612	generated
6428	human
14168	human
16425	human
4935	generated
13469	generated
2195	generated
20741	generated
13687	generated
13800	generated
15943	generated
3707	human
14332	human
3246	human
5966	generated
16328	generated
2171	generated
20372	generated
12934	generated
8878	generated
6433	human
17533	generated
3507	generated
8753	generated
9892	generated
13868	generated
5943	generated
18786	generated
6311	human
13719	generated
134	generated
5814	human
12440	generated
13821	generated
20571	generated
5748	generated
5226	generated
1261	generated
4539	generated
15722	human
8403	generated
5050	generated
16828	human
15468	generated
13037	generated
15645	human
11711	generated
10363	generated
3829	generated
4202	generated
8614	human
2516	generated
1412	generated
11159	generated
13385	generated
5893	generated
8611	generated
12032	human
13108	generated
12654	generated
18399	human
5194	generated
1027	generated
2325	generated
7625	human
8262	generated
10327	generated
21236	generated
199	human
15690	generated
10217	human
13271	generated
6419	generated
13593	generated
2457	generated
2127	human
2898	generated
17342	generated
10319	generated
11389	generated
16041	human
17797	human
15918	generated
7781	human
20070	generated
474	generated
6543	human
6149	generated
2084	generated
7575	generated
10466	generated
19482	human
19791	human
12623	generated
4679	generated
2748	generated
18229	generated
5405	human
12387	generated
5151	human
21788	generated
11243	human
10924	generated
4101	generated
10534	generated
14866	human
6108	generated
9430	human
18515	human
16952	generated
16927	generated
19091	generated
6779	human
7409	generated
16355	generated
10885	generated
7315	generated
15614	human
1534	generated
13915	generated
19987	generated
3254	generated
13932	human
1710	generated
12648	generated
1580	generated
21319	generated
2425	generated
2698	generated
18761	generated
21267	generated
17446	generated
10897	generated
5286	human
18695	human
16675	generated
18827	human
16522	human
18582	human
12200	generated
6357	generated
7744	generated
19556	generated
17935	human
14658	human
14479	generated
4609	generated
2564	generated
21792	generated
17696	generated
17435	generated
4574	generated
2115	human
18805	generated
15262	generated
8829	generated
2332	generated
19325	human
21211	generated
4391	human
15018	generated
1827	generated
3362	generated
13361	generated
6551	generated
11153	generated
14493	human
9289	human
12933	generated
20812	generated
2041	generated
8644	generated
5115	generated
18986	human
10700	generated
20647	generated
17380	generated
10280	generated
15666	generated
7765	generated
17267	generated
15098	generated
1815	human
17959	human
3947	human
3015	human
503	generated
17796	generated
9320	human
18049	generated
10733	generated
6918	generated
18026	generated
9495	generated
8576	human
18982	generated
21492	generated
18963	human
8377	generated
19688	generated
14507	generated
19068	generated
15490	human
247	generated
5671	human
7696	generated
13394	generated
12918	generated
369	generated
14474	generated
4003	generated
20732	generated
6243	human
13470	generated
7912	generated
9586	human
8827	human
10945	generated
16687	generated
13307	generated
6491	generated
971	generated
4043	generated
7747	generated
9507	human
15030	generated
10423	generated
17333	human
20677	generated
4487	generated
936	generated
15758	generated
3027	generated
6235	generated
11505	generated
10246	generated
4258	generated
4115	generated
21422	generated
14158	generated
2676	human
17104	human
5382	generated
2878	human
19284	generated
44	generated
6550	generated
8151	generated
2061	generated
14731	human
6508	generated
17548	human
6306	generated
20510	generated
8293	generated
14804	human
6482	generated
15413	generated
12928	generated
10586	generated
9701	generated
9052	human
15418	human
17383	generated
19748	human
6087	generated
2308	generated
19177	generated
20419	generated
8332	generated
18294	generated
3128	human
9928	human
14221	generated
13326	generated
17232	generated
12123	generated
8796	human
563	generated
7806	generated
16349	generated
7132	generated
3018	human
18970	generated
10186	generated
17441	generated
21918	generated
20293	human
21751	generated
17355	generated
15380	generated
980	human
12262	generated
5561	generated
1457	generated
10760	generated
16706	generated
19007	generated
21382	generated
20488	generated
12325	generated
8604	generated
18152	human
17982	human
3821	generated
18580	generated
945	generated
3616	human
10493	generated
7212	human
17112	human
8582	human
15267	generated
15885	generated
4813	human
2267	generated
3388	generated
15757	generated
5727	generated
14843	human
14729	generated
1087	generated
3263	generated
9254	human
18916	generated
13211	generated
4325	human
1448	generated
2876	human
17171	generated
4847	generated
11043	generated
2458	human
17775	generated
20317	generated
14406	generated
6091	human
3106	generated
17467	human
