id	label
15725	human
17108	human
383	generated
7809	generated
6215	human
20030	generated
17261	human
9711	generated
21106	generated
7515	human
10134	generated
14684	human
15319	generated
12026	generated
10841	generated
21661	generated
4779	generated
11131	generated
10782	generated
11832	generated
9150	generated
4034	generated
21632	generated
423	generated
7782	human
17219	human
16877	generated
7603	generated
5888	generated
7576	generated
19310	generated
15774	human
688	generated
4049	generated
18414	human
15164	generated
4007	generated
4572	generated
5923	generated
15872	generated
11433	generated
221	generated
20612	generated
6428	generated
14168	human
16425	generated
4935	generated
13469	generated
2195	generated
20741	generated
13687	generated
13800	generated
15943	human
3707	human
14332	generated
3246	generated
5966	generated
16328	human
2171	generated
20372	generated
12934	generated
8878	generated
6433	generated
17533	human
3507	generated
8753	generated
9892	generated
13868	human
5943	generated
18786	human
6311	generated
13719	generated
134	generated
5814	generated
12440	generated
13821	generated
20571	generated
5748	generated
5226	generated
1261	generated
4539	generated
15722	generated
8403	generated
5050	generated
16828	human
15468	generated
13037	generated
15645	generated
11711	generated
10363	generated
3829	generated
4202	generated
8614	generated
2516	generated
1412	generated
11159	generated
13385	generated
5893	generated
8611	generated
12032	generated
13108	generated
12654	generated
18399	generated
5194	human
1027	generated
2325	generated
7625	generated
8262	generated
10327	generated
21236	generated
199	generated
15690	human
10217	generated
13271	generated
6419	generated
13593	generated
2457	generated
2127	generated
2898	generated
17342	generated
10319	generated
11389	generated
16041	human
17797	human
15918	human
7781	human
20070	generated
474	generated
6543	generated
6149	generated
2084	generated
7575	generated
10466	generated
19482	generated
19791	generated
12623	generated
4679	generated
2748	generated
18229	generated
5405	generated
12387	generated
5151	generated
21788	generated
11243	generated
10924	generated
4101	generated
10534	generated
14866	human
6108	generated
9430	generated
18515	generated
16952	generated
16927	generated
19091	human
6779	generated
7409	generated
16355	generated
10885	generated
7315	generated
15614	generated
1534	generated
13915	human
19987	generated
3254	generated
13932	human
1710	generated
12648	generated
1580	generated
21319	generated
2425	generated
2698	generated
18761	generated
21267	generated
17446	generated
10897	generated
5286	generated
18695	generated
16675	generated
18827	human
16522	human
18582	human
12200	generated
6357	generated
7744	generated
19556	generated
17935	generated
14658	generated
14479	generated
4609	generated
2564	generated
21792	generated
17696	generated
17435	human
4574	generated
2115	generated
18805	generated
15262	human
8829	generated
2332	generated
19325	generated
21211	generated
4391	human
15018	human
1827	generated
3362	generated
